sentence,tokens,bio_tags
"Hey there, I'm looking for a {difficulty: intense} running route that starts from {start_location: pesach street} {loca_start_num: 84} and goes all the way to {end_location: ramban} {loca_end_num: 5}, something around {route_length: 9.5 kilometers} would be perfect","Hey there, I'm looking for a, {difficulty: intense}, running route that starts from, {start_location: pesach street}, {loca_start_num: 84}, and goes all the way to, {end_location: ramban}, {loca_end_num: 5}, , something around, {route_length: 9.5 kilometers}, would be perfect","O, B-difficulty, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-route_length, O"
tourist need {difficulty: easy} track {route_length: 950 meters} beginning {start_location: sderot harav herzog} {loca_start_num: 79} finishing {end_location: mishkenot sha'ananim} {loca_end_num: 52},"tourist need, {difficulty: easy}, track, {route_length: 950 meters}, beginning, {start_location: sderot harav herzog}, {loca_start_num: 79}, finishing, {end_location: mishkenot sha'ananim}, {loca_end_num: 52}","O, B-difficulty, O, B-route_length, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num"
need running path suggestion,need running path suggestion,O
Create a {difficulty: easy} route that covers {route_length: 3.5 km}.,"Create a, {difficulty: easy}, route that covers, {route_length: 3.5 km}, .","O, B-difficulty, O, B-route_length, O"
"Hey, I wanna do a {route_length: 19 kilometers} run from {start_location: accelerator street} {loca_start_num: 100}, any good routes?","Hey, I wanna do a, {route_length: 19 kilometers}, run from, {start_location: accelerator street}, {loca_start_num: 100}, , any good routes?","O, B-route_length, O, B-start_location, B-loca_start_num, O"
{route_length: 300 meters} {difficulty: difficult but rewarding} run from {start_location: kibbutz} please,"{route_length: 300 meters}, {difficulty: difficult but rewarding}, run from, {start_location: kibbutz}, please","B-route_length, B-difficulty, O, B-start_location, O"
"Midnight runner here, safe {route_length: 5 km} route from {start_location: arthur ruppin street} {loca_start_num: 43}?","Midnight runner here, safe, {route_length: 5 km}, route from, {start_location: arthur ruppin street}, {loca_start_num: 43}, ?","O, B-route_length, O, B-start_location, B-loca_start_num, O"
route planning help please,route planning help please,O
can you suggest good running path?,can you suggest good running path?,O
Group run starting at {start_location: haifa road} {loca_start_num: 44},"Group run starting at, {start_location: haifa road}, {loca_start_num: 44}","O, B-start_location, B-loca_start_num"
need running path suggestion,need running path suggestion,O
Taking a different route today from {start_location: shmuel hanavi street} {loca_start_num: 91},"Taking a different route today from, {start_location: shmuel hanavi street}, {loca_start_num: 91}","O, B-start_location, B-loca_start_num"
{difficulty: extreme difficulty} running track please,"{difficulty: extreme difficulty}, running track please","B-difficulty, O"
Running with friends from {start_location: via dolorosa} {loca_start_num: 98},"Running with friends from, {start_location: via dolorosa}, {loca_start_num: 98}","O, B-start_location, B-loca_start_num"
can u plan my morning jog?,can u plan my morning jog?,O
Need a tempo run route - {difficulty: flat and easy} {route_length: 3.0 kilometers} from {start_location: mordechai anielewicz street} {loca_start_num: 91},"Need a tempo run route -, {difficulty: flat and easy}, {route_length: 3.0 kilometers}, from, {start_location: mordechai anielewicz street}, {loca_start_num: 91}","O, B-difficulty, B-route_length, O, B-start_location, B-loca_start_num"
Plan a {difficulty: very hard} route ending at {end_location: king solomon} {loca_end_num: 90}.,"Plan a, {difficulty: very hard}, route ending at, {end_location: king solomon}, {loca_end_num: 90}, .","O, B-difficulty, O, B-end_location, B-loca_end_num, O"
recommend me a good running track,recommend me a good running track,O
running track near {start_location: isaiah street},"running track near, {start_location: isaiah street}","O, B-start_location"
make me {route_length: 5-10 km} path please,"make me, {route_length: 5-10 km}, path please","O, B-route_length, O"
suggest good spots for morning exercise,suggest good spots for morning exercise,O
running track suggestions?,running track suggestions?,O
"Crew run day, need a {route_length: 10.5 km} route with photo ops near {start_location: dance quarter} {loca_start_num: 30}","Crew run day, need a, {route_length: 10.5 km}, route with photo ops near, {start_location: dance quarter}, {loca_start_num: 30}","O, B-route_length, O, B-start_location, B-loca_start_num"
"Running late but gotta get my miles in, quick {route_length: 2.5 km} route from {start_location: levinsky street} {loca_start_num: 16}?","Running late but gotta get my miles in, quick, {route_length: 2.5 km}, route from, {start_location: levinsky street}, {loca_start_num: 16}, ?","O, B-route_length, O, B-start_location, B-loca_start_num, O"
need {route_length: 16.5 km} track,"need, {route_length: 16.5 km}, track","O, B-route_length, O"
Hook me up with a {difficulty: hard} route from {start_location: berl katznelson} {loca_start_num: 29},"Hook me up with a, {difficulty: hard}, route from, {start_location: berl katznelson}, {loca_start_num: 29}","O, B-difficulty, O, B-start_location, B-loca_start_num"
"from {start_location: negev street} {loca_start_num: 95} to {end_location: my position}, make it {difficulty: very hard}","from, {start_location: negev street}, {loca_start_num: 95}, to, {end_location: my position}, , make it, {difficulty: very hard}","O, B-start_location, B-loca_start_num, O, B-end_location, O, B-difficulty"
{route_length: quick run} {difficulty: not hard} path please,"{route_length: quick run}, {difficulty: not hard}, path please","B-route_length, B-difficulty, O"
"{start_location: kiryat yovel street} {loca_start_num: 83} to {end_location: malchei israel street} {loca_end_num: 14}, {route_length: very short} {difficulty: very easy}","{start_location: kiryat yovel street}, {loca_start_num: 83}, to, {end_location: malchei israel street}, {loca_end_num: 14}, ,, {route_length: very short}, {difficulty: very easy}","B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-route_length, B-difficulty"
{difficulty: moderate effort} running track please,"{difficulty: moderate effort}, running track please","B-difficulty, O"
staying near {start_location: isaiah} need running route,"staying near, {start_location: isaiah}, need running route","O, B-start_location, O"
need running path suggestion,need running path suggestion,O
need route 4 beginner {difficulty: difficult but rewarding} about {route_length: 3 km} from {start_location: hanevi'im street} {loca_start_num: 88} to {end_location: textile} {loca_end_num: 40},"need route 4 beginner, {difficulty: difficult but rewarding}, about, {route_length: 3 km}, from, {start_location: hanevi'im street}, {loca_start_num: 88}, to, {end_location: textile}, {loca_end_num: 40}","O, B-difficulty, O, B-route_length, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num"
Ready to run from {start_location: crusader} {loca_start_num: 94},"Ready to run from, {start_location: crusader}, {loca_start_num: 94}","O, B-start_location, B-loca_start_num"
need {route_length: 9.0 kilometers} path near the water,"need, {route_length: 9.0 kilometers}, path near the water","O, B-route_length, O"
first time in tel aviv want to go running,first time in tel aviv want to go running,O
Want a flat route from {start_location: einstein street} {loca_start_num: 70},"Want a flat route from, {start_location: einstein street}, {loca_start_num: 70}","O, B-start_location, B-loca_start_num"
help plan my morning exercise,help plan my morning exercise,O
need simple {difficulty: extreme difficulty} route {route_length: 18.5 km} from {start_location: aaron aaronsohn street} {loca_start_num: 5} to {end_location: bar ilan} {loca_end_num: 19},"need simple, {difficulty: extreme difficulty}, route, {route_length: 18.5 km}, from, {start_location: aaron aaronsohn street}, {loca_start_num: 5}, to, {end_location: bar ilan}, {loca_end_num: 19}","O, B-difficulty, O, B-route_length, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num"
where to run in tel aviv?,where to run in tel aviv?,O
I need a running route that goes from {start_location: palmach street} {loca_start_num: 56} to {end_location: kiryat yovel} {loca_end_num: 36}.,"I need a running route that goes from, {start_location: palmach street}, {loca_start_num: 56}, to, {end_location: kiryat yovel}, {loca_end_num: 36}, .","O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O"
looking for {difficulty: medium} track,"looking for, {difficulty: medium}, track","O, B-difficulty, O"
Could you suggest a nice evening running path that starts from {start_location: rachel hameshoreret} {loca_start_num: 50} and isn't too strenuous?,"Could you suggest a nice evening running path that starts from, {start_location: rachel hameshoreret}, {loca_start_num: 50}, and isn't too strenuous?","O, B-start_location, B-loca_start_num, O"
Give me a {route_length: 5.5 km} route,"Give me a, {route_length: 5.5 km}, route","O, B-route_length, O"
I want a {difficulty: hard} route to {end_location: einstein street} {loca_end_num: 40}.,"I want a, {difficulty: hard}, route to, {end_location: einstein street}, {loca_end_num: 40}, .","O, B-difficulty, O, B-end_location, B-loca_end_num, O"
need running path suggestion,need running path suggestion,O
Help me plan my {route_length: 20 kilometers} run from {start_location: gesher street} {loca_start_num: 74}?,"Help me plan my, {route_length: 20 kilometers}, run from, {start_location: gesher street}, {loca_start_num: 74}, ?","O, B-route_length, O, B-start_location, B-loca_start_num, O"
need {difficulty: intense} route for my mom,"need, {difficulty: intense}, route for my mom","O, B-difficulty, O"
I'm looking for a {difficulty: easy} route from {start_location: ha-nevi'im} {loca_start_num: 73} to {end_location: innovation} {loca_end_num: 70} with a distance of {route_length: 1-3 km}.,"I'm looking for a, {difficulty: easy}, route from, {start_location: ha-nevi'im}, {loca_start_num: 73}, to, {end_location: innovation}, {loca_end_num: 70}, with a distance of, {route_length: 1-3 km}, .","O, B-difficulty, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-route_length, O"
Doing a quick lunch run from {start_location: hamelech street} {loca_start_num: 100},"Doing a quick lunch run from, {start_location: hamelech street}, {loca_start_num: 100}","O, B-start_location, B-loca_start_num"
"Got my headphones charged, ready for a {route_length: 950 meters} run from {start_location: sand dune} {loca_start_num: 38}","Got my headphones charged, ready for a, {route_length: 950 meters}, run from, {start_location: sand dune}, {loca_start_num: 38}","O, B-route_length, O, B-start_location, B-loca_start_num"
Need a {route_length: 7 kilometers} route from {start_location: haalon street} {loca_start_num: 49} to {end_location: einstein street} {loca_end_num: 96} that's {difficulty: difficult but rewarding} level - training for a race next month,"Need a, {route_length: 7 kilometers}, route from, {start_location: haalon street}, {loca_start_num: 49}, to, {end_location: einstein street}, {loca_end_num: 96}, that's, {difficulty: difficult but rewarding}, level - training for a race next month","O, B-route_length, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-difficulty, O"
elderly person looking for nice walking route,elderly person looking for nice walking route,O
{route_length: 7.0 km} {difficulty: easy} track from {start_location: hahigh-tech street} {loca_start_num: 67} to {end_location: heleni hamalka street} {loca_end_num: 86},"{route_length: 7.0 km}, {difficulty: easy}, track from, {start_location: hahigh-tech street}, {loca_start_num: 67}, to, {end_location: heleni hamalka street}, {loca_end_num: 86}","B-route_length, B-difficulty, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num"
"Building endurance, show me a {difficulty: moderate effort} {route_length: 3-5 km} route starting {start_location: king solomon} {loca_start_num: 89}","Building endurance, show me a, {difficulty: moderate effort}, {route_length: 3-5 km}, route starting, {start_location: king solomon}, {loca_start_num: 89}","O, B-difficulty, B-route_length, O, B-start_location, B-loca_start_num"
Need a good route for today,Need a good route for today,O
help me find running route,help me find running route,O
Taking the run club from {start_location: berl katznelson} {loca_start_num: 46},"Taking the run club from, {start_location: berl katznelson}, {loca_start_num: 46}","O, B-start_location, B-loca_start_num"
Plan a {difficulty: not hard} run between {start_location: weizmann} {loca_start_num: 91} and {end_location: my vicinity} for {route_length: 400 meters}.,"Plan a, {difficulty: not hard}, run between, {start_location: weizmann}, {loca_start_num: 91}, and, {end_location: my vicinity}, for, {route_length: 400 meters}, .","O, B-difficulty, O, B-start_location, B-loca_start_num, O, B-end_location, O, B-route_length, O"
"{start_location: zevulun street} {loca_start_num: 31} to {end_location: alexander zarchin street} {loca_end_num: 58}, {difficulty: intense}","{start_location: zevulun street}, {loca_start_num: 31}, to, {end_location: alexander zarchin street}, {loca_end_num: 58}, ,, {difficulty: intense}","B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-difficulty"
planning 5k where should i go,planning 5k where should i go,O
simple run {route_length: very short},"simple run, {route_length: very short}","O, B-route_length"
Generate a running route from {start_location: beit lessin street} {loca_start_num: 9} to {end_location: ramle market} {loca_end_num: 39}.,"Generate a running route from, {start_location: beit lessin street}, {loca_start_num: 9}, to, {end_location: ramle market}, {loca_end_num: 39}, .","O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O"
"Planning my weekend long run, need a {difficulty: easy} path from {start_location: mount hermon} {loca_start_num: 44} to {end_location: tech park} {loca_end_num: 50}, about {route_length: 1.5 kilometers}","Planning my weekend long run, need a, {difficulty: easy}, path from, {start_location: mount hermon}, {loca_start_num: 44}, to, {end_location: tech park}, {loca_end_num: 50}, , about, {route_length: 1.5 kilometers}","O, B-difficulty, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-route_length"
{route_length: 8.5 kilometers} easy path please,"{route_length: 8.5 kilometers}, easy path please","B-route_length, O"
"Late night run, need a safe {route_length: 7.0 km} route from {start_location: sukkot} {loca_start_num: 11}","Late night run, need a safe, {route_length: 7.0 km}, route from, {start_location: sukkot}, {loca_start_num: 11}","O, B-route_length, O, B-start_location, B-loca_start_num"
"Crew run day, need a {route_length: 14.5 km} route with photo ops near {start_location: samuel hanavi street} {loca_start_num: 12}","Crew run day, need a, {route_length: 14.5 km}, route with photo ops near, {start_location: samuel hanavi street}, {loca_start_num: 12}","O, B-route_length, O, B-start_location, B-loca_start_num"
Quick lunch run route near {start_location: naomi shemer street} {loca_start_num: 12}?,"Quick lunch run route near, {start_location: naomi shemer street}, {loca_start_num: 12}, ?","O, B-start_location, B-loca_start_num, O"
"Marathon training calls for {route_length: 16.0 km} today, starting from {start_location: hatzvi street} {loca_start_num: 59}","Marathon training calls for, {route_length: 16.0 km}, today, starting from, {start_location: hatzvi street}, {loca_start_num: 59}","O, B-route_length, O, B-start_location, B-loca_start_num"
Need a solid {difficulty: not hard} route from {start_location: yissachar street} {loca_start_num: 40} to {end_location: herzl boulevard} {loca_end_num: 44},"Need a solid, {difficulty: not hard}, route from, {start_location: yissachar street}, {loca_start_num: 40}, to, {end_location: herzl boulevard}, {loca_end_num: 44}","O, B-difficulty, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num"
Need a short route from {start_location: chaim weizmann street} {loca_start_num: 99},"Need a short route from, {start_location: chaim weizmann street}, {loca_start_num: 99}","O, B-start_location, B-loca_start_num"
run from {start_location: amos} to {end_location: asher} {loca_end_num: 66},"run from, {start_location: amos}, to, {end_location: asher}, {loca_end_num: 66}","O, B-start_location, O, B-end_location, B-loca_end_num"
Show me routes around {start_location: ethiopia} {loca_start_num: 16},"Show me routes around, {start_location: ethiopia}, {loca_start_num: 16}","O, B-start_location, B-loca_start_num"
"Legs are toast, need a flat {route_length: 8.0 km} route from {start_location: usb} {loca_start_num: 48}","Legs are toast, need a flat, {route_length: 8.0 km}, route from, {start_location: usb}, {loca_start_num: 48}","O, B-route_length, O, B-start_location, B-loca_start_num"
Where do people usually run around here?,Where do people usually run around here?,O
Morning run starting at {start_location: abba kovner street} {loca_start_num: 57},"Morning run starting at, {start_location: abba kovner street}, {loca_start_num: 57}","O, B-start_location, B-loca_start_num"
where can i do {route_length: 12 km} run?,"where can i do, {route_length: 12 km}, run?","O, B-route_length, O"
"I need a {difficulty: not hard} run starting at {start_location: amos schocken} {loca_start_num: 19}, heading to {end_location: derech hayam} {loca_end_num: 11}, and covering {route_length: 10.0 km}.","I need a, {difficulty: not hard}, run starting at, {start_location: amos schocken}, {loca_start_num: 19}, , heading to, {end_location: derech hayam}, {loca_end_num: 11}, , and covering, {route_length: 10.0 km}, .","O, B-difficulty, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-route_length, O"
beginner runner need help with route,beginner runner need help with route,O
I need a route ending at {end_location: moshe sneh} {loca_end_num: 69} that covers {route_length: 4 kilometers}.,"I need a route ending at, {end_location: moshe sneh}, {loca_end_num: 69}, that covers, {route_length: 4 kilometers}, .","O, B-end_location, B-loca_end_num, O, B-route_length, O"
looking for {difficulty: slightly challenging} track,"looking for, {difficulty: slightly challenging}, track","O, B-difficulty, O"
make me {difficulty: challenging} path,"make me, {difficulty: challenging}, path","O, B-difficulty, O"
{route_length: 11 km} {difficulty: intense} track starting {start_location: airport city street} {loca_start_num: 68},"{route_length: 11 km}, {difficulty: intense}, track starting, {start_location: airport city street}, {loca_start_num: 68}","B-route_length, B-difficulty, O, B-start_location, B-loca_start_num"
"Could you suggest a {difficulty: intense} running route between {start_location: startup} {loca_start_num: 18} and {end_location: hadov} {loca_end_num: 73}, covering {route_length: 650 meters}?","Could you suggest a, {difficulty: intense}, running route between, {start_location: startup}, {loca_start_num: 18}, and, {end_location: hadov}, {loca_end_num: 73}, , covering, {route_length: 650 meters}, ?","O, B-difficulty, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-route_length, O"
want {difficulty: difficult but rewarding} track about {route_length: extremely long},"want, {difficulty: difficult but rewarding}, track about, {route_length: extremely long}","O, B-difficulty, O, B-route_length"
"Yo, need a {route_length: 11.0 kilometers} route near {start_location: arik einstein} {loca_start_num: 44}","Yo, need a, {route_length: 11.0 kilometers}, route near, {start_location: arik einstein}, {loca_start_num: 44}","O, B-route_length, O, B-start_location, B-loca_start_num"
Can you provide a route to {end_location: yedioth street} {loca_end_num: 38} that spans {route_length: marathon length}?,"Can you provide a route to, {end_location: yedioth street}, {loca_end_num: 38}, that spans, {route_length: marathon length}, ?","O, B-end_location, B-loca_end_num, O, B-route_length, O"
I need a {route_length: 8.5 km} route from {start_location: eliyahu hanavi} {loca_start_num: 15},"I need a, {route_length: 8.5 km}, route from, {start_location: eliyahu hanavi}, {loca_start_num: 15}","O, B-route_length, O, B-start_location, B-loca_start_num"
"Hey there, I'm looking for a {difficulty: not hard} running route that starts from {start_location: heleni hamalka street} {loca_start_num: 27} and goes all the way to {end_location: theodor herzl} {loca_end_num: 16}, something around {route_length: 4.0 km} would be perfect","Hey there, I'm looking for a, {difficulty: not hard}, running route that starts from, {start_location: heleni hamalka street}, {loca_start_num: 27}, and goes all the way to, {end_location: theodor herzl}, {loca_end_num: 16}, , something around, {route_length: 4.0 km}, would be perfect","O, B-difficulty, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-route_length, O"
need quick morning run suggestion,need quick morning run suggestion,O
Got an hour to kill - what's a good {route_length: 12 kilometers} route near {start_location: zalman shneur} {loca_start_num: 69}?,"Got an hour to kill - what's a good, {route_length: 12 kilometers}, route near, {start_location: zalman shneur}, {loca_start_num: 69}, ?","O, B-route_length, O, B-start_location, B-loca_start_num, O"
training for marathon need long route,training for marathon need long route,O
planning my evening jog need suggestions,planning my evening jog need suggestions,O
Generate a running route from {start_location: dov yudkovsky street} {loca_start_num: 4} to {end_location: poland} {loca_end_num: 87}.,"Generate a running route from, {start_location: dov yudkovsky street}, {loca_start_num: 4}, to, {end_location: poland}, {loca_end_num: 87}, .","O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O"
I want a {difficulty: extreme difficulty} route from {start_location: hapaprika street} {loca_start_num: 46}.,"I want a, {difficulty: extreme difficulty}, route from, {start_location: hapaprika street}, {loca_start_num: 46}, .","O, B-difficulty, O, B-start_location, B-loca_start_num, O"
Time for my daily run,Time for my daily run,O
need running suggestions please,need running suggestions please,O
I'm visiting Tel Aviv for the first time and would love to go for a morning run tomorrow,I'm visiting Tel Aviv for the first time and would love to go for a morning run tomorrow,O
"I want to run {route_length: 19 km} starting at {start_location: usb} {loca_start_num: 33} and ending at {end_location: hebron road} {loca_end_num: 81}, with {difficulty: easy} difficulty.","I want to run, {route_length: 19 km}, starting at, {start_location: usb}, {loca_start_num: 33}, and ending at, {end_location: hebron road}, {loca_end_num: 81}, , with, {difficulty: easy}, difficulty.","O, B-route_length, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-difficulty, O"
"Sunrise run route needed near {start_location: beersheba} {loca_start_num: 83}, about {route_length: over 20 km}","Sunrise run route needed near, {start_location: beersheba}, {loca_start_num: 83}, , about, {route_length: over 20 km}","O, B-start_location, B-loca_start_num, O, B-route_length"
Need a morning route - something {difficulty: extreme difficulty} around {route_length: 3 km} from {start_location: malkhei yisrael street} {loca_start_num: 38},"Need a morning route - something, {difficulty: extreme difficulty}, around, {route_length: 3 km}, from, {start_location: malkhei yisrael street}, {loca_start_num: 38}","O, B-difficulty, O, B-route_length, O, B-start_location, B-loca_start_num"
Generate a running route to {end_location: rambam street} {loca_end_num: 72} with a distance of {route_length: 14.5 kilometers}.,"Generate a running route to, {end_location: rambam street}, {loca_end_num: 72}, with a distance of, {route_length: 14.5 kilometers}, .","O, B-end_location, B-loca_end_num, O, B-route_length, O"
where to run in tel aviv?,where to run in tel aviv?,O
{difficulty: not hard} {route_length: 5 kilometers} from {start_location: yitzhak shamir street} {loca_start_num: 13} to {end_location: albert einstein street} {loca_end_num: 81},"{difficulty: not hard}, {route_length: 5 kilometers}, from, {start_location: yitzhak shamir street}, {loca_start_num: 13}, to, {end_location: albert einstein street}, {loca_end_num: 81}","B-difficulty, B-route_length, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num"
Doing a social run from {start_location: where i'm located} {loca_start_num: 10},"Doing a social run from, {start_location: where i'm located}, {loca_start_num: 10}","O, B-start_location, B-loca_start_num"
need running recommendations near the beach,need running recommendations near the beach,O
im new here where should i run?,im new here where should i run?,O
beginner runner needs help with route planning,beginner runner needs help with route planning,O
gimme {difficulty: hard} path {route_length: 8.0 kilometers} start {start_location: bialik prize street} {loca_start_num: 99} finish {end_location: leah goldberg street} {loca_end_num: 60},"gimme, {difficulty: hard}, path, {route_length: 8.0 kilometers}, start, {start_location: bialik prize street}, {loca_start_num: 99}, finish, {end_location: leah goldberg street}, {loca_end_num: 60}","O, B-difficulty, O, B-route_length, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num"
Gotta get my miles in - show me a {route_length: 16 kilometers} loop from {start_location: yael arad street} {loca_start_num: 85},"Gotta get my miles in - show me a, {route_length: 16 kilometers}, loop from, {start_location: yael arad street}, {loca_start_num: 85}","O, B-route_length, O, B-start_location, B-loca_start_num"
need simple {difficulty: difficult but rewarding} route {route_length: 19.5 km} from {start_location: innovation} {loca_start_num: 1} to {end_location: fashion week} {loca_end_num: 67},"need simple, {difficulty: difficult but rewarding}, route, {route_length: 19.5 km}, from, {start_location: innovation}, {loca_start_num: 1}, to, {end_location: fashion week}, {loca_end_num: 67}","O, B-difficulty, O, B-route_length, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num"
{difficulty: very easy} route {route_length: 13 kilometers} starting {start_location: henrietta szold street} {loca_start_num: 24},"{difficulty: very easy}, route, {route_length: 13 kilometers}, starting, {start_location: henrietta szold street}, {loca_start_num: 24}","B-difficulty, O, B-route_length, O, B-start_location, B-loca_start_num"
can u make {difficulty: hard} route from {start_location: gesher},"can u make, {difficulty: hard}, route from, {start_location: gesher}","O, B-difficulty, O, B-start_location"
I want a {difficulty: very easy} route that goes from {start_location: trumpeldor} {loca_start_num: 76} to {end_location: bukhara street} {loca_end_num: 45} and spans {route_length: 18.0 kilometers}.,"I want a, {difficulty: very easy}, route that goes from, {start_location: trumpeldor}, {loca_start_num: 76}, to, {end_location: bukhara street}, {loca_end_num: 45}, and spans, {route_length: 18.0 kilometers}, .","O, B-difficulty, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-route_length, O"
Hi there! I'm staying at a hotel near {start_location: german colony} {loca_start_num: 4} and would love a {difficulty: flat and easy} running route to {end_location: airport city} {loca_end_num: 79} that's about {route_length: 10 km} - preferably with some nice cafes along the way,"Hi there! I'm staying at a hotel near, {start_location: german colony}, {loca_start_num: 4}, and would love a, {difficulty: flat and easy}, running route to, {end_location: airport city}, {loca_end_num: 79}, that's about, {route_length: 10 km}, - preferably with some nice cafes along the way","O, B-start_location, B-loca_start_num, O, B-difficulty, O, B-end_location, B-loca_end_num, O, B-route_length, O"
I need a running route in tel aviv,I need a running route in tel aviv,O
need route for tomorrow morning,need route for tomorrow morning,O
Need help planning tomorrow's run - something that starts from {start_location: bialik prize street} {loca_start_num: 67} and is about {route_length: 11.0 kilometers} with some interesting neighborhoods along the way,"Need help planning tomorrow's run - something that starts from, {start_location: bialik prize street}, {loca_start_num: 67}, and is about, {route_length: 11.0 kilometers}, with some interesting neighborhoods along the way","O, B-start_location, B-loca_start_num, O, B-route_length, O"
{difficulty: hard} path from {start_location: samuel hanavi street},"{difficulty: hard}, path from, {start_location: samuel hanavi street}","B-difficulty, O, B-start_location"
"I want to run from {start_location: my vicinity} to {end_location: eilat} {loca_end_num: 63}, need {route_length: 800 meters} {difficulty: hard} route","I want to run from, {start_location: my vicinity}, to, {end_location: eilat}, {loca_end_num: 63}, , need, {route_length: 800 meters}, {difficulty: hard}, route","O, B-start_location, O, B-end_location, B-loca_end_num, O, B-route_length, B-difficulty, O"
training for marathon need long route,training for marathon need long route,O
need {difficulty: flat and easy} route about {route_length: 11.0 km},"need, {difficulty: flat and easy}, route about, {route_length: 11.0 km}","O, B-difficulty, O, B-route_length"
"{route_length: 8 km} from {start_location: jeremiah} {loca_start_num: 50} to {end_location: bar ilan street} {loca_end_num: 44}, {difficulty: easy}","{route_length: 8 km}, from, {start_location: jeremiah}, {loca_start_num: 50}, to, {end_location: bar ilan street}, {loca_end_num: 44}, ,, {difficulty: easy}","B-route_length, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-difficulty"
"Training for my first 5k, need a {route_length: 5.0 km} route near {start_location: ramle market street} {loca_start_num: 1}","Training for my first 5k, need a, {route_length: 5.0 km}, route near, {start_location: ramle market street}, {loca_start_num: 1}","O, B-route_length, O, B-start_location, B-loca_start_num"
Got any decent {route_length: 7.0 kilometers} loops starting from {start_location: kovshei katamon} {loca_start_num: 64}?,"Got any decent, {route_length: 7.0 kilometers}, loops starting from, {start_location: kovshei katamon}, {loca_start_num: 64}, ?","O, B-route_length, O, B-start_location, B-loca_start_num, O"
