sentence,tokens,bio_tags
Gimme a {difficulty: flat and easy} route around {route_length: 2.5 km} near {start_location: yehudi menuhin} {loca_start_num: 31},"Gimme, a, flat, and, easy, route, around, 2.5, km, near, yehudi, menuhin, 31","O, O, B-difficulty, I-difficulty, I-difficulty, O, O, B-route_length, I-route_length, O, B-start_location, I-start_location, B-loca_start_num"
can you suggest good running path?,"can, you, suggest, good, running, path?","O, O, O, O, O, O"
need {route_length: 13 km} easy route,"need, 13, km, easy, route","O, B-route_length, I-route_length, O, O"
I need a running route in tel aviv,"I, need, a, running, route, in, tel, aviv","O, O, O, O, O, O, O, O"
looking for {difficulty: intense} route {route_length: 11.5 kilometers},"looking, for, intense, route, 11.5, kilometers","O, O, B-difficulty, O, B-route_length, I-route_length"
Looking to knock out a {difficulty: very easy} {route_length: 2.0 km} run starting near {start_location: ben gurion university street} {loca_start_num: 86},"Looking, to, knock, out, a, very, easy, 2.0, km, run, starting, near, ben, gurion, university, street, 86","O, O, O, O, O, B-difficulty, I-difficulty, B-route_length, I-route_length, O, O, O, B-start_location, I-start_location, I-start_location, I-start_location, B-loca_start_num"
Speed work route needed - {difficulty: slightly challenging} {route_length: 4.5 km} with good straightaways,"Speed, work, route, needed, -, slightly, challenging, 4.5, km, with, good, straightaways","O, O, O, O, O, B-difficulty, I-difficulty, B-route_length, I-route_length, O, O, O"
want to run but dont know where,"want, to, run, but, dont, know, where","O, O, O, O, O, O, O"
where do people usually run here?,"where, do, people, usually, run, here?","O, O, O, O, O, O"
hi can u make me a {difficulty: slightly challenging} route?,"hi, can, u, make, me, a, slightly, challenging, route?","O, O, O, O, O, O, B-difficulty, I-difficulty, O"
"Plan a route from {start_location: king david street} {loca_start_num: 60}, and make it {route_length: 15.0 km}.","Plan, a, route, from, king, david, street, 60, ,, and, make, it, 15.0, km, .","O, O, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, O, O, O, B-route_length, I-route_length, O"
first time in israel need {difficulty: moderate effort} path {route_length: 10 km} from {start_location: hazayit street} {loca_start_num: 6} 2 {end_location: reuven rubin street} {loca_end_num: 39},"first, time, in, israel, need, moderate, effort, path, 10, km, from, hazayit, street, 6, 2, reuven, rubin, street, 39","O, O, O, O, O, B-difficulty, I-difficulty, O, B-route_length, I-route_length, O, B-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, I-end_location, B-loca_end_num"
start {start_location: hora} {loca_start_num: 16} {difficulty: slightly challenging},"start, hora, 16, slightly, challenging","O, B-start_location, B-loca_start_num, B-difficulty, I-difficulty"
Generate a route with a distance of {route_length: 17.5 kilometers}.,"Generate, a, route, with, a, distance, of, 17.5, kilometers, .","O, O, O, O, O, O, O, B-route_length, I-route_length, O"
"Easy day today, need a chill {route_length: 15.0 km} route from {start_location: solar energy street} {loca_start_num: 71}","Easy, day, today,, need, a, chill, 15.0, km, route, from, solar, energy, street, 71","O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
Can you plan a {difficulty: very easy} route that begins at {start_location: abu tor} {loca_start_num: 9}?,"Can, you, plan, a, very, easy, route, that, begins, at, abu, tor, 9, ?","O, O, O, O, B-difficulty, I-difficulty, O, O, O, O, B-start_location, I-start_location, B-loca_start_num, O"
help plan my first 5k route,"help, plan, my, first, 5k, route","O, O, O, O, O, O"
Need some hills in my run from {start_location: ashdod street} {loca_start_num: 11},"Need, some, hills, in, my, run, from, ashdod, street, 11","O, O, O, O, O, O, O, B-start_location, I-start_location, B-loca_start_num"
"Planning my weekend long run, need a {difficulty: easy} path from {start_location: avraham stern street} {loca_start_num: 63} to {end_location: trumpeldor} {loca_end_num: 7}, about {route_length: 6.5 km}","Planning, my, weekend, long, run,, need, a, easy, path, from, avraham, stern, street, 63, to, trumpeldor, 7, ,, about, 6.5, km","O, O, O, O, O, O, O, B-difficulty, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, O, B-route_length, I-route_length"
need {route_length: 10.0 kilometers} easy route,"need, 10.0, kilometers, easy, route","O, B-route_length, I-route_length, O, O"
Need a good running track for my morning exercise - something that starts near {start_location: ofra haza street} and is moderately challenging,"Need, a, good, running, track, for, my, morning, exercise, -, something, that, starts, near, ofra, haza, street, and, is, moderately, challenging","O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-start_location, I-start_location, I-start_location, O, O, O, O"
Long run day - need a {difficulty: challenging} {route_length: 850 meters} route from {start_location: poland} {loca_start_num: 21},"Long, run, day, -, need, a, challenging, 850, meters, route, from, poland, 21","O, O, O, O, O, O, B-difficulty, B-route_length, I-route_length, O, O, B-start_location, B-loca_start_num"
Looking for a scenic {route_length: half-marathon length} route near {start_location: agricultural station} {loca_start_num: 88},"Looking, for, a, scenic, half-marathon, length, route, near, agricultural, station, 88","O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num"
New runner here - need an easy {route_length: 12.0 km} route near {start_location: light rail street} {loca_start_num: 47},"New, runner, here, -, need, an, easy, 12.0, km, route, near, light, rail, street, 47","O, O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
Where can I run near {start_location: nachlaot} {loca_start_num: 9}?,"Where, can, I, run, near, nachlaot, 9, ?","O, O, O, O, O, B-start_location, B-loca_start_num, O"
need {route_length: 11.5 km} {difficulty: slightly challenging},"need, 11.5, km, slightly, challenging","O, B-route_length, I-route_length, B-difficulty, I-difficulty"
Generate a route with a distance of {route_length: 3.0 kilometers}.,"Generate, a, route, with, a, distance, of, 3.0, kilometers, .","O, O, O, O, O, O, O, B-route_length, I-route_length, O"
Looking for recommendations for a good morning run - something around {route_length: 18 kilometers} and not too difficult for a beginner,"Looking, for, recommendations, for, a, good, morning, run, -, something, around, 18, kilometers, and, not, too, difficult, for, a, beginner","O, O, O, O, O, O, O, O, O, O, O, B-route_length, I-route_length, O, O, O, O, O, O, O"
I'm looking for a {difficulty: flat and easy} route from {start_location: abba kovner street} {loca_start_num: 36} to {end_location: weizmann} {loca_end_num: 62} with a distance of {route_length: very long}.,"I'm, looking, for, a, flat, and, easy, route, from, abba, kovner, street, 36, to, weizmann, 62, with, a, distance, of, very, long, .","O, O, O, O, B-difficulty, I-difficulty, I-difficulty, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, O, O, O, B-route_length, I-route_length, O"
need a {difficulty: somewhat tough} path from {start_location: bialik} {loca_start_num: 19} to {end_location: harimon} {loca_end_num: 92} that's {route_length: 18 km},"need, a, somewhat, tough, path, from, bialik, 19, to, harimon, 92, that's, 18, km","O, O, B-difficulty, I-difficulty, O, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-route_length, I-route_length"
"Provide a {difficulty: very easy} running route that starts at {start_location: gaza} {loca_start_num: 91} and ends at {end_location: rabin boulevard} {loca_end_num: 61}, covering {route_length: 20.0 kilometers}.","Provide, a, very, easy, running, route, that, starts, at, gaza, 91, and, ends, at, rabin, boulevard, 61, ,, covering, 20.0, kilometers, .","O, O, B-difficulty, I-difficulty, O, O, O, O, O, B-start_location, B-loca_start_num, O, O, O, B-end_location, I-end_location, B-loca_end_num, O, O, B-route_length, I-route_length, O"
Ready to run from {start_location: keren hayesod street} {loca_start_num: 91},"Ready, to, run, from, keren, hayesod, street, 91","O, O, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
help plan my morning exercise,"help, plan, my, morning, exercise","O, O, O, O, O"
"Just moved here, show me some {route_length: 18.5 km} routes near {start_location: moshav} {loca_start_num: 50}","Just, moved, here,, show, me, some, 18.5, km, routes, near, moshav, 50","O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, B-loca_start_num"
{route_length: 5.5 km} to {end_location: rehavia} {loca_end_num: 13} please,"5.5, km, to, rehavia, 13, please","B-route_length, I-route_length, O, B-end_location, B-loca_end_num, O"
Ready to run from {start_location: kovshei katamon} {loca_start_num: 74},"Ready, to, run, from, kovshei, katamon, 74","O, O, O, O, B-start_location, I-start_location, B-loca_start_num"
plan me something from {start_location: tzipori street} {loca_start_num: 82},"plan, me, something, from, tzipori, street, 82","O, O, O, O, B-start_location, I-start_location, B-loca_start_num"
beginner want {difficulty: medium} run,"beginner, want, medium, run","O, O, B-difficulty, O"
Planning a {route_length: 7.5 kilometers} {difficulty: easy} run from {start_location: yehuda halevi street} {loca_start_num: 84} to {end_location: gila almagor street} {loca_end_num: 66} - would love something with good morning light for photos,"Planning, a, 7.5, kilometers, easy, run, from, yehuda, halevi, street, 84, to, gila, almagor, street, 66, -, would, love, something, with, good, morning, light, for, photos","O, O, B-route_length, I-route_length, B-difficulty, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, I-end_location, B-loca_end_num, O, O, O, O, O, O, O, O, O, O"
tourist looking for running route,"tourist, looking, for, running, route","O, O, O, O, O"
{difficulty: flat and easy} {route_length: 7.5 km} route please,"flat, and, easy, 7.5, km, route, please","B-difficulty, I-difficulty, I-difficulty, B-route_length, I-route_length, O, O"
good path for morning run?,"good, path, for, morning, run?","O, O, O, O, O"
"Hi there, I'm training for a half marathon and need a {difficulty: somewhat tough} route about {route_length: 14 km}, preferably near the beach","Hi, there,, I'm, training, for, a, half, marathon, and, need, a, somewhat, tough, route, about, 14, km, ,, preferably, near, the, beach","O, O, O, O, O, O, O, O, O, O, O, B-difficulty, I-difficulty, O, O, B-route_length, I-route_length, O, O, O, O, O"
Plan a {difficulty: very hard} run starting from {start_location: stef wertheimer} {loca_start_num: 49}.,"Plan, a, very, hard, run, starting, from, stef, wertheimer, 49, .","O, O, B-difficulty, I-difficulty, O, O, O, B-start_location, I-start_location, B-loca_start_num, O"
running to {end_location: hataasiya street},"running, to, hataasiya, street","O, O, B-end_location, I-end_location"
{route_length: 2 kilometers} run from {start_location: hadassah} {loca_start_num: 2},"2, kilometers, run, from, hadassah, 2","B-route_length, I-route_length, O, O, B-start_location, B-loca_start_num"
make me {route_length: 18 km} path please,"make, me, 18, km, path, please","O, O, B-route_length, I-route_length, O, O"
beginner runner need help with route,"beginner, runner, need, help, with, route","O, O, O, O, O, O"
Could you suggest a nice evening running path that starts from {start_location: golda meir boulevard} {loca_start_num: 76} and isn't too strenuous?,"Could, you, suggest, a, nice, evening, running, path, that, starts, from, golda, meir, boulevard, 76, and, isn't, too, strenuous?","O, O, O, O, O, O, O, O, O, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, O, O, O"
Ready to run from {start_location: sderot harav herzog} {loca_start_num: 44},"Ready, to, run, from, sderot, harav, herzog, 44","O, O, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
Looking for some hill training - {difficulty: moderate effort} route around {route_length: under 1 km} from {start_location: ofra haza street} {loca_start_num: 64},"Looking, for, some, hill, training, -, moderate, effort, route, around, under, 1, km, from, ofra, haza, street, 64","O, O, O, O, O, O, B-difficulty, I-difficulty, O, O, B-route_length, I-route_length, I-route_length, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
something {difficulty: medium} and short,"something, medium, and, short","O, B-difficulty, O, O"
i want to run {route_length: 19.5 km} from {start_location: space center street} to {end_location: ruth street},"i, want, to, run, 19.5, km, from, space, center, street, to, ruth, street","O, O, O, O, B-route_length, I-route_length, O, B-start_location, I-start_location, I-start_location, O, B-end_location, I-end_location"
Group run starting at {start_location: katamon street} {loca_start_num: 89},"Group, run, starting, at, katamon, street, 89","O, O, O, O, B-start_location, I-start_location, B-loca_start_num"
Need a {difficulty: medium} training route that's about {route_length: 16.5 km} starting from {start_location: hazaatar street} {loca_start_num: 44} and ending at {end_location: hatzvi} {loca_end_num: 30} - preparing for an upcoming marathon,"Need, a, medium, training, route, that's, about, 16.5, km, starting, from, hazaatar, street, 44, and, ending, at, hatzvi, 30, -, preparing, for, an, upcoming, marathon","O, O, B-difficulty, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num, O, O, O, B-end_location, B-loca_end_num, O, O, O, O, O, O"
want {difficulty: difficult but rewarding} run {route_length: 15.0 kilometers} starting point {start_location: herzliya street} {loca_start_num: 44} endpoint {end_location: around me},"want, difficult, but, rewarding, run, 15.0, kilometers, starting, point, herzliya, street, 44, endpoint, around, me","O, B-difficulty, I-difficulty, I-difficulty, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location"
run starting {start_location: ramat aviv} {loca_start_num: 50},"run, starting, ramat, aviv, 50","O, O, B-start_location, I-start_location, B-loca_start_num"
{route_length: 3.5 km} {difficulty: challenging} track needed,"3.5, km, challenging, track, needed","B-route_length, I-route_length, B-difficulty, O, O"
{start_location: allenby street} to {end_location: strauss street},"allenby, street, to, strauss, street","B-start_location, I-start_location, O, B-end_location, I-end_location"
{route_length: 700 meters} route please,"700, meters, route, please","B-route_length, I-route_length, O, O"
Long run day - need a {difficulty: slightly challenging} {route_length: 5 km} route from {start_location: maariv street} {loca_start_num: 8},"Long, run, day, -, need, a, slightly, challenging, 5, km, route, from, maariv, street, 8","O, O, O, O, O, O, B-difficulty, I-difficulty, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num"
Suggest a {difficulty: easy} run from {start_location: pinsker street} {loca_start_num: 81}.,"Suggest, a, easy, run, from, pinsker, street, 81, .","O, O, B-difficulty, O, O, B-start_location, I-start_location, B-loca_start_num, O"
Show me where to run,"Show, me, where, to, run","O, O, O, O, O"
good path for morning run?,"good, path, for, morning, run?","O, O, O, O, O"
Taking the stroller today from {start_location: hamelacha street} {loca_start_num: 77},"Taking, the, stroller, today, from, hamelacha, street, 77","O, O, O, O, O, B-start_location, I-start_location, B-loca_start_num"
need a route for tomorrow,"need, a, route, for, tomorrow","O, O, O, O, O"
need {difficulty: slightly challenging} {route_length: quick run},"need, slightly, challenging, quick, run","O, B-difficulty, I-difficulty, B-route_length, I-route_length"
My doctor recommended daily walks - could you suggest an easy route near the city center?,"My, doctor, recommended, daily, walks, -, could, you, suggest, an, easy, route, near, the, city, center?","O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O"
"Building endurance, show me a {difficulty: slightly challenging} {route_length: 8 km} route starting {start_location: yehudi menuhin} {loca_start_num: 57}","Building, endurance,, show, me, a, slightly, challenging, 8, km, route, starting, yehudi, menuhin, 57","O, O, O, O, O, B-difficulty, I-difficulty, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num"
need {difficulty: intense} {route_length: 8 kilometers},"need, intense, 8, kilometers","O, B-difficulty, B-route_length, I-route_length"
Could you help plan a {route_length: 16.5 km} route from {start_location: ein gedi street} {loca_start_num: 93} to {end_location: mount tabor} {loca_end_num: 51}? Looking for something {difficulty: very easy} with not too many traffic lights,"Could, you, help, plan, a, 16.5, km, route, from, ein, gedi, street, 93, to, mount, tabor, 51, ?, Looking, for, something, very, easy, with, not, too, many, traffic, lights","O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num, O, O, O, O, B-difficulty, I-difficulty, O, O, O, O, O, O"
Suggest a {difficulty: not hard} run from {start_location: herzl boulevard} {loca_start_num: 89}.,"Suggest, a, not, hard, run, from, herzl, boulevard, 89, .","O, O, B-difficulty, I-difficulty, O, O, B-start_location, I-start_location, B-loca_start_num, O"
"Need some hills in my life, {route_length: 20 kilometers} route from {start_location: tel dan} {loca_start_num: 4}?","Need, some, hills, in, my, life,, 20, kilometers, route, from, tel, dan, 4, ?","O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num, O"
hey can you help me find a nice running track?,"hey, can, you, help, me, find, a, nice, running, track?","O, O, O, O, O, O, O, O, O, O"
"Can you help plan a route? I live near {start_location: dvir} {loca_start_num: 31} and want to run to {end_location: yitzhak shamir} {loca_end_num: 31}, maybe {difficulty: very hard} level","Can, you, help, plan, a, route?, I, live, near, dvir, 31, and, want, to, run, to, yitzhak, shamir, 31, ,, maybe, very, hard, level","O, O, O, O, O, O, O, O, O, B-start_location, B-loca_start_num, O, O, O, O, O, B-end_location, I-end_location, B-loca_end_num, O, O, B-difficulty, I-difficulty, O"
Gonna run {route_length: 16 km} from {start_location: shimshon street} {loca_start_num: 69} today,"Gonna, run, 16, km, from, shimshon, street, 69, today","O, O, B-route_length, I-route_length, O, B-start_location, I-start_location, B-loca_start_num, O"
Generate a running route from {start_location: samuel hanavi street} {loca_start_num: 16} to {end_location: herod's gate street} {loca_end_num: 28}.,"Generate, a, running, route, from, samuel, hanavi, street, 16, to, herod's, gate, street, 28, .","O, O, O, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, I-end_location, B-loca_end_num, O"
New runner here - need an easy {route_length: 900 meters} route near {start_location: tchernichovsky} {loca_start_num: 83},"New, runner, here, -, need, an, easy, 900, meters, route, near, tchernichovsky, 83","O, O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, B-loca_start_num"
"{start_location: jabotinsky} {loca_start_num: 16} to {end_location: leah goldberg street} {loca_end_num: 13}, make it {difficulty: hard}","jabotinsky, 16, to, leah, goldberg, street, 13, ,, make, it, hard","B-start_location, B-loca_start_num, O, B-end_location, I-end_location, I-end_location, B-loca_end_num, O, O, O, B-difficulty"
"I need a {difficulty: difficult but rewarding} run starting at {start_location: amos schocken} {loca_start_num: 56}, heading to {end_location: machane yehuda} {loca_end_num: 15}, and covering {route_length: 2.0 kilometers}.","I, need, a, difficult, but, rewarding, run, starting, at, amos, schocken, 56, ,, heading, to, machane, yehuda, 15, ,, and, covering, 2.0, kilometers, .","O, O, O, B-difficulty, I-difficulty, I-difficulty, O, O, O, B-start_location, I-start_location, B-loca_start_num, O, O, O, B-end_location, I-end_location, B-loca_end_num, O, O, O, B-route_length, I-route_length, O"
Visiting the area - where can I do a quick {route_length: 6 km} run near {start_location: bedouin path} {loca_start_num: 69}?,"Visiting, the, area, -, where, can, I, do, a, quick, 6, km, run, near, bedouin, path, 69, ?","O, O, O, O, O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num, O"
"I want to run {route_length: 16.5 kilometers} starting at {start_location: byzantine street} {loca_start_num: 49} and ending at {end_location: dov lautman} {loca_end_num: 61}, with {difficulty: not hard} difficulty.","I, want, to, run, 16.5, kilometers, starting, at, byzantine, street, 49, and, ending, at, dov, lautman, 61, ,, with, not, hard, difficulty.","O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num, O, O, O, B-end_location, I-end_location, B-loca_end_num, O, O, B-difficulty, I-difficulty, O"
Meeting friends for a run - what's a good {route_length: 14.5 kilometers} route near {start_location: my current coordinates}?,"Meeting, friends, for, a, run, -, what's, a, good, 14.5, kilometers, route, near, my, current, coordinates, ?","O, O, O, O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, I-start_location, O"
{difficulty: intense} {route_length: 15 km} route please,"intense, 15, km, route, please","B-difficulty, B-route_length, I-route_length, O, O"
"Got time for a quick {route_length: 15-20 km} run, starting at {start_location: farming pioneer} {loca_start_num: 58}","Got, time, for, a, quick, 15-20, km, run,, starting, at, farming, pioneer, 58","O, O, O, O, O, B-route_length, I-route_length, O, O, O, B-start_location, I-start_location, B-loca_start_num"
